,R. salebrosus,descriptions
PF12766,1,Pyridoxamine 5'-phosphate oxidase
PF16016,1,VAD1 Analog of StAR-related lipid transfer domain
PF14223,1,gag-polypeptide of LTR copia-type
PF04135,1,"Nucleolar RNA-binding protein, Nop10p family"
PF00294,1,pfkB family carbohydrate kinase
PF16842,1,Occluded RNA-recognition motif
PF09339,1,IclR helix-turn-helix domain
PF01676,1,Metalloenzyme superfamily
PF06415,1,BPG-independent PGAM N-terminus (iPGM_N)
PF09768,1,Peptidase M76 family
PF06886,1,Targeting protein for Xklp2 (TPX2) domain
PF01784,1,NIF3 (NGG1p interacting factor 3)
PF04615,1,Utp14 protein
PF00878,1,Cation-independent mannose-6-phosphate receptor repeat
PF00346,1,"Respiratory-chain NADH dehydrogenase, 49 Kd subunit"
PF08433,1,Chromatin associated protein KTI12
PF08587,1,Ubiquitin associated domain (UBA)
PF00883,1,"Cytosol aminopeptidase family, catalytic domain"
PF00295,1,Glycosyl hydrolases family 28
PF07855,1,Autophagy-related protein 101
PF10345,1,Cohesin loading factor
PF07718,1,Coatomer beta C-terminal region
PF14806,1,Coatomer beta subunit appendage platform
PF04911,1,ATP synthase j chain
PF03370,1,Carbohydrate/starch-binding module (family 21)
PF01301,1,Glycosyl hydrolases family 35
PF10435,1,"Beta-galactosidase, domain 2"
PF13363,1,"Beta-galactosidase, domain 3"
PF13364,1,Beta-galactosidase jelly roll domain
PF10058,1,Predicted integral membrane zinc-ribbon metal-binding protein
PF08654,1,DASH complex subunit Dad2
PF02540,1,NAD synthase
PF06046,1,Exocyst complex component Sec6
PF08386,1,TAP-like protein
PF04820,1,Tryptophan halogenase
PF16892,1,Chitin biosynthesis protein CHS5 N-terminus
PF16893,1,Fibronectin type III domain
PF06140,1,Interferon-induced 6-16 family
PF13462,1,Thioredoxin
PF06420,1,Mitochondrial genome maintenance MGM101
PF10487,1,Nucleoporin subcomplex protein binding to Pom34
PF04939,1,Ribosome biogenesis regulatory protein (RRS1)
PF09405,1,CASC3/Barentsz eIF4AIII binding
PF04571,1,"lipin, N-terminal conserved region"
PF08235,1,LNS2 (Lipin/Ned1/Smp2)
PF05327,1,RNA polymerase I specific transcription initiation factor RRN3
PF18263,1,MCM6 C-terminal winged-helix domain
PF13350,1,Tyrosine phosphatase family
PF11916,1,Vacuolar protein 14 C-terminal Fig4p binding
PF12755,1,Vacuolar 14 Fab1-binding region
PF02637,1,GatB domain
PF02934,1,GatB/GatE catalytic domain
PF04926,1,Poly(A) polymerase predicted RNA binding domain
PF04928,1,Poly(A) polymerase central domain
PF13229,1,Right handed beta helix region
PF04061,1,ORMDL family
PF04979,1,Protein phosphatase inhibitor 2 (IPP-2)
PF12400,1,STIMATE family
PF00643,1,B-box zinc finger
PF09418,1,Protein of unknown function (DUF2009)
PF18005,1,"eIF3 subunit M, C-terminal helix"
PF07052,1,Hepatocellular carcinoma-associated antigen 59
PF05783,1,Dynein light intermediate chain (DLIC)
PF04176,1,TIP41-like family
PF02928,1,C5HC2 zinc finger
PF08429,1,PLU-1-like protein
PF05602,1,Cleft lip and palate transmembrane protein 1 (CLPTM1)
PF03453,1,MoeA N-terminal region (domain I and II)
PF03454,1,MoeA C-terminal region (domain IV)
PF02774,1,"Semialdehyde dehydrogenase, dimerisation domain"
PF07019,1,EMC6
PF01725,1,Ham1 family
PF06487,1,Sin3 associated polypeptide p18 (SAP18)
PF19977,1,xRRM domain
PF10637,1,Oxoglutarate and iron-dependent oxygenase degradation C-term
PF13661,1,2OG-Fe(II) oxygenase superfamily
PF09813,1,Cytochrome c oxidase assembly factor 3
PF09668,1,Aspartyl protease
PF13975,1,gag-polyprotein putative aspartyl protease
PF18388,1,Atg29 N-terminal domain
PF15370,1,NOP protein chaperone 1
PF03366,1,YEATS family
PF20305,1,prokaryotic YEATS domain
PF02238,1,Cytochrome c oxidase subunit VII
PF08064,1,UME (NUC010) domain
PF04147,1,Nop14-like family
PF05091,1,Eukaryotic translation initiation factor 3 subunit 7 (eIF-3)
PF04802,1,Phosphatase 4 regulatory subunit 3
PF02064,1,MAS20 protein import receptor
PF15879,1,NADH-ubiquinone oxidoreductase MWFE subunit
PF01746,1,tRNA (Guanine-1)-methyltransferase
PF06883,1,"RNA polymerase I, Rpa2 specific domain"
PF04096,1,Nucleoporin autopeptidase
PF09350,1,"DnaJ homologue, subfamily C, member 28, conserved domain"
PF14698,1,Argininosuccinate lyase C-terminal
PF13716,1,Divergent CRAL/TRIO domain
PF01878,1,EVE domain
PF01125,1,G10 protein
PF01730,1,UreF
PF08038,1,TOM7 family
PF02792,1,Mago nashi protein
PF03969,1,AFG1-like ATPase
PF06212,1,GRIM-19 protein
PF12800,1,4Fe-4S binding domain
PF12838,1,4Fe-4S dicluster domain
PF13187,1,4Fe-4S dicluster domain
PF04253,1,Transferrin receptor-like dimerisation domain
PF08772,1,Nin one binding (NOB1) Zn-ribbon like
PF17146,1,PIN domain of ribonuclease
PF04062,1,ARP2/3 complex ARPC3 (21 kDa) subunit
PF02806,1,"Alpha amylase, C-terminal all-beta domain"
PF02922,1,Carbohydrate-binding module 48 (Isoamylase N-terminal domain)
PF12330,1,Haspin like kinase domain
PF04148,1,Transmembrane adaptor Erv26
PF11931,1,SF3a60/Prp9 C-terminal
PF12108,1,Splicing factor SF3a60 binding domain
PF16837,1,"Pre-mRNA-splicing factor SF3A3, of SF3a complex, Prp9"
PF17104,1,Domain of unknown function (DUF5102)
PF08167,1,rRNA processing/ribosome biogenesis
PF02749,1,"Quinolinate phosphoribosyl transferase, N-terminal domain"
PF04938,1,Survival motor neuron (SMN) interacting protein 1 (SIP1)
PF11595,1,Protein of unknown function (DUF3245)
PF04557,1,"Glutaminyl-tRNA synthetase, non-specific RNA binding region part 2"
PF04558,1,"Glutaminyl-tRNA synthetase, non-specific RNA binding region part 1"
PF16282,1,SANT/Myb-like domain of DAMP1
PF17237,1,ERMES regulator 1
PF13691,1,tRNase Z endonuclease
PF05615,1,Tho complex subunit 7
PF01084,1,Ribosomal protein S18
PF18553,1,PheRS DNA binding domain 3
PF03483,1,B3/4 domain
PF03484,1,tRNA synthetase B5 domain
PF18262,1,Phe-tRNA synthetase beta subunit B1 domain
PF17098,1,WTAP/Mum2p family
PF08760,1,Domain of unknown function (DUF1793)
PF16335,1,Domain of unknown function (DUF4965)
PF17168,1,Domain of unknown function (DUF5127)
PF00215,1,Orotidine 5'-phosphate decarboxylase / HUMPS family
PF01142,1,tRNA pseudouridine synthase D (TruD)
PF01717,1,"Cobalamin-independent synthase, Catalytic domain"
PF08267,1,"Cobalamin-independent synthase, N-terminal domain"
PF10293,1,Domain of unknown function (DUF2405)
PF10305,1,RNA pol II promoter Fmp27 protein domain
PF10347,1,RNA pol II promoter Fmp27 protein domain
PF10351,1,Golgi-body localisation protein domain
PF10359,1,RNA pol II promoter Fmp27 protein domain
PF01159,1,Ribosomal protein L6e
PF03676,1,Phagosome assembly factor 1
PF01502,1,Phosphoribosyl-AMP cyclohydrolase
PF01503,1,Phosphoribosyl-ATP pyrophosphohydrolase
PF03951,1,"Glutamine synthetase, beta-Grasp domain"
PF01158,1,Ribosomal protein L36e
PF02537,1,"CrcB-like protein, Camphor Resistance (CrcB)"
PF17877,1,DIS3-like exonuclease 2 C terminal
PF08553,1,VID27 C-terminal WD40-like domain
PF17747,1,VID27 PH-like domain
PF17748,1,VID27 N-terminal region
PF10156,1,Subunit 17 of Mediator complex
PF14204,1,Ribosomal L18 C-terminal region
PF17144,1,"Ribosomal large subunit proteins 60S L5, and 50S L18"
PF08216,1,"Catenin-beta-like, Arm-motif containing nuclear"
PF09384,1,UTP15 C terminal
PF00838,1,Translationally controlled tumour protein
PF20175,1,Tra1 HEAT repeat central region
PF20206,1,Tra1 HEAT repeat ring region
PF09409,1,PUB domain
PF01734,1,Patatin-like phospholipase
PF11815,1,Domain of unknown function (DUF3336)
PF14629,1,Origin recognition complex (ORC) subunit 4 C-terminus
PF08612,1,TATA-binding related factor (TRF) of subunit 20 of Mediator complex
PF12825,1,Domain of unknown function in PX-proteins (DUF3818)
PF12828,1,PX-associated
PF07946,1,PAT complex subunit CCDC47
PF00479,1,"Glucose-6-phosphate dehydrogenase, NAD binding domain"
PF02781,1,"Glucose-6-phosphate dehydrogenase, C-terminal domain"
PF02257,1,RFX DNA-binding domain
PF05793,1,"Transcription initiation factor IIF, alpha subunit (TFIIF-alpha)"
PF00831,1,Ribosomal L29 protein
PF04597,1,Ribophorin I
PF08571,1,Yos1-like
PF03227,1,Gamma interferon inducible lysosomal thiol reductase (GILT)
PF09774,1,Intermembrane space protein MIX23
PF09463,1,Opy2 protein
PF08443,1,RimK-like ATP-grasp domain
PF18086,1,Diphosphoinositol pentakisphosphate kinase 2 N-terminal domain
PF10363,1,Required for nuclear transport of RNA pol II C-terminus 1
PF08313,1,"SCA7, zinc-binding domain"
PF03983,1,"SLA1 homology domain 1, SHD1"
PF09324,1,Domain of unknown function (DUF1981)
PF16213,1,Dimerisation and cyclophilin-binding domain of Mon2
PF20252,1,BIG2 C-terminal domain
PF01916,1,Deoxyhypusine synthase
PF03364,1,Polyketide cyclase / dehydrase and lipid transport
PF05032,1,Spo12 family
PF00703,1,Glycosyl hydrolases family 2
PF01300,1,Telomere recombination
PF03481,1,"Threonylcarbamoyl-AMP synthase, C-terminal domain"
PF10203,1,Cytochrome c oxidase assembly protein PET191
PF09282,1,Mago binding
PF18723,1,alpha-glutamyl/putrescinyl thymine pyrophosphorylase clade 1
PF01015,1,Ribosomal S3Ae family
PF06677,1,Sjogren's syndrome/scleroderma autoantigen 1 (Autoantigen p27)
PF02935,1,Cytochrome c oxidase subunit VIIc
PF10496,1,SNARE-complex protein Syntaxin-18 N-terminus
PF02127,1,Aminopeptidase I zinc metalloprotease (M18)
PF05008,1,Vesicle transport v-SNARE protein N-terminus
PF01956,1,Integral membrane protein EMC3/TMCO1-like
PF04376,1,"Arginine-tRNA-protein transferase, N terminus"
PF04377,1,"Arginine-tRNA-protein transferase, C terminus"
PF08577,1,PI31 proteasome regulator
PF11566,1,PI31 proteasome regulator N-terminal
PF05064,1,Nsp1-like C-terminal region
PF16679,1,DNA replication factor Cdt1 C-terminal domain
PF02115,1,RHO protein GDP dissociation inhibitor
PF03870,1,RNA polymerase Rpb8
PF06246,1,Isy1-like splicing family
PF02197,1,Regulatory subunit of type II PKA R-subunit
PF00759,1,Glycosyl hydrolase family 9
PF02291,1,"Transcription initiation factor IID, 31kD subunit"
PF01592,1,NifU-like N terminal domain
PF09785,1,Prp31 C terminal domain
PF09748,1,Transcription factor subunit Med10 of Mediator complex
PF03645,1,Tctex-1 family
PF00253,1,Ribosomal protein S14p/S29e
PF11905,1,Domain of unknown function (DUF3425)
PF13821,1,Domain of unknown function (DUF4187)
PF06824,1,Metal-independent alpha-mannosidase (GH125)
PF00694,1,Aconitase C-terminal domain
PF01779,1,Ribosomal L29e protein family
PF09734,1,RNA polymerase III transcription factor (TF)IIIC subunit HTH domain
PF17682,1,Tau95 Triple barrel domain
PF08636,1,ER protein Pkr1
PF12519,1,Mitochondrial distribution and morphology protein 10
PF10262,1,Rdx family
PF08145,1,BOP1NT (NUC169) domain
PF10338,1,Protein of unknown function (DUF2423)
PF08397,1,IRSp53/MIM homology domain
PF01245,1,Ribosomal protein L19
PF05093,1,"Cytokine-induced anti-apoptosis inhibitor 1, Fe-S biogenesis"
PF16803,1,Fe-S cluster assembly protein DRE2 N-terminus
PF16414,1,Niemann-Pick C1 N terminus
PF07923,1,N1221-like protein
PF09358,1,Ubiquitin fold domain
PF16190,1,Ubiquitin-activating enzyme E1 FCCH domain
PF16191,1,Ubiquitin-activating enzyme E1 four-helix bundle
PF09732,1,Cactus-binding C-terminus of cactin protein
PF10312,1,Conserved mid region of cactin
PF02187,1,Growth-Arrest-Specific Protein 2 Domain
PF10180,1,WKF domain
PF08312,1,cwf21 domain
PF05063,1,MT-A70
PF13757,1,Vault protein inter-alpha-trypsin domain
PF05620,1,SRP-independent targeting protein 2/TMEM208
PF07524,1,Bromodomain associated
PF10406,1,Transcription factor TFIID complex subunit 8 C-term
PF01687,1,Riboflavin kinase
PF05365,1,"Ubiquinol-cytochrome C reductase, UQCRX/QCR9 like"
PF03770,1,Inositol polyphosphate kinase
PF10558,1,Mitochondrial 18 KDa protein (MTP18)
PF06127,1,2-hydroxy-palmitic acid dioxygenase Mpo1-like
PF16053,1,Mitochondrial 28S ribosomal protein S34
PF14671,1,"Dual specificity protein phosphatase, N-terminal half"
PF01208,1,Uroporphyrinogen decarboxylase (URO-D)
PF05205,1,COMPASS (Complex proteins associated with Set1p) component shg1
PF00542,1,Ribosomal protein L7/L12 C-terminal domain
PF16320,1,Ribosomal protein L7/L12 dimerisation domain
PF04065,1,"Not1 N-terminal domain, CCR4-Not complex component"
PF18972,1,Cns1/TTC4 Wheel domain
PF01251,1,Ribosomal protein S7e
PF01871,1,AMMECR1
PF00297,1,Ribosomal protein L3
PF11262,1,Transcription factor/nuclear export subunit protein 2
PF11732,1,Transcription- and export-related complex subunit
PF16134,1,THO complex subunit 2 N-terminus
PF01227,1,GTP cyclohydrolase I
PF00436,1,Single-strand binding protein family
PF08938,1,HBS1 N-terminus
PF20526,1,Domain of unknown function (DUF6741)
PF02137,1,Adenosine-deaminase (editase) domain
PF10998,1,Protein of unknown function (DUF2838)
PF05873,1,"ATP synthase D chain, mitochondrial (ATP5H)"
PF11785,1,Aft1 osmotic stress response (OSM) domain
PF11786,1,Aft1 HRA domain
PF02109,1,DAD family
PF17830,1,STI1 domain
PF06522,1,NADH-ubiquinone reductase complex 1 MLRQ subunit
PF05291,1,Bystin
PF00615,1,Regulator of G protein signaling domain
PF16503,1,Zinc-ribbon
PF09816,1,RNA polymerase II transcription elongation factor
PF17903,1,Krr1 KH1 domain
PF04959,1,Arsenite-resistance protein 2
PF12066,1,"SERRATE/Ars2, N-terminal domain"
PF08701,1,GNL3L/Grn1 putative GTPase
PF17135,1,Ribosomal protein 60S L18 and 50S L18e
PF10396,1,GTP-binding protein TrmE N-terminus
PF12631,1,MnmE helical domain
PF10521,1,Tti2 family
PF03297,1,S25 ribosomal protein
PF12999,1,Glucosidase II beta subunit-like
PF13015,1,Glucosidase II beta subunit-like protein
PF09088,1,MIF4G like
PF09090,1,MIF4G like
PF01803,1,LIM-domain binding protein
PF12423,1,Kinesin protein 1B
PF12473,1,Kinesin protein
PF12353,1,Eukaryotic translation initiation factor 3 subunit G
PF10165,1,Guanine nucleotide exchange factor synembryn
PF10360,1,Protein of unknown function (DUF2433)
PF17177,1,Pentacotripeptide-repeat region of PRORP
PF13848,1,Thioredoxin-like domain
PF08617,1,Kinase binding protein CGI-121
PF02630,1,SCO1/SenC
PF14615,1,Ribosome-assembly protein 3
PF00731,1,AIR carboxylase
PF17769,1,Phosphoribosylaminoimidazole carboxylase C-terminal domain
PF01116,1,Fructose-bisphosphate aldolase class-II
PF13231,1,Dolichyl-phosphate-mannose-protein mannosyltransferase
PF04910,1,Transcriptional repressor TCF25
PF12656,1,G-patch domain
PF01035,1,"6-O-methylguanine DNA methyltransferase, DNA binding domain"
PF04547,1,Calcium-activated chloride channel
PF06881,1,RNA polymerase II transcription factor SIII (Elongin) subunit A
PF00213,1,ATP synthase delta (OSCP) subunit
PF04667,1,cAMP-regulated phosphoprotein/endosulfine conserved region
PF02185,1,Hr1 repeat
PF08649,1,DASH complex subunit Dad1
PF07065,1,D123
PF01090,1,Ribosomal protein S19e
PF13420,1,Acetyltransferase (GNAT) domain
PF05903,1,PPPDE putative peptidase domain
PF07683,1,Cobalamin synthesis protein cobW C-terminal domain
PF01103,1,Omp85 superfamily domain
PF05546,1,She9 / Mdm33 family
PF03733,1,Inner membrane component domain
PF01627,1,Hpt domain
PF16078,1,2-oxoglutarate dehydrogenase N-terminus
PF03939,1,"Ribosomal protein L23, N-terminal domain"
PF13877,1,Potential Monad-binding region of RPAP3
PF12765,1,HEAT repeat associated with sister chromatid cohesion
PF12830,1,Sister chromatid cohesion C-terminus
PF06657,1,Centrosome microtubule-binding domain of Cep57
PF14197,1,Centrosome localisation domain of PPC89
PF13679,1,Methyltransferase domain
PF09749,1,Uncharacterised conserved protein
PF14378,1,PAP2 superfamily
PF08574,1,Transcription factor Iwr1
PF00570,1,HRDC domain
PF08066,1,PMC2NT (NUC016) domain
PF09471,1,IgA Peptidase M64
PF09173,1,"Initiation factor eIF2 gamma, C terminal"
PF00208,1,Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
PF10408,1,Ubiquitin elongating factor core
PF01632,1,Ribosomal protein L35
PF17820,1,PDZ domain
PF18265,1,Nas2 N_terminal domain
PF14663,1,Rapamycin-insensitive companion of mTOR RasGEF_N domain
PF14664,1,"Rapamycin-insensitive companion of mTOR, N-term"
PF14666,1,"Rapamycin-insensitive companion of mTOR, middle domain"
PF14668,1,"Rapamycin-insensitive companion of mTOR, domain 5"
PF04800,1,NADH dehydrogenase ubiquinone Fe-S protein 4
PF00080,1,Copper/zinc superoxide dismutase (SODC)
PF00635,1,MSP (Major sperm protein) domain
PF18311,1,Exosome complex exonuclease Rrp40 N-terminal domain
PF07200,1,Modifier of rudimentary (Mod(r)) protein
PF08637,1,ATP synthase regulation protein NCA2
PF08355,1,EF hand associated
PF08356,1,EF hand associated
PF03130,1,PBS lyase HEAT-like repeat
PF10199,1,Alpha and gamma adaptin binding protein p34
PF03234,1,Cdc37 N terminal kinase binding
PF08564,1,Cdc37 C terminal domain
PF08565,1,Cdc37 Hsp90 binding domain
PF07970,1,Endoplasmic reticulum vesicle transporter
PF13850,1,Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)
PF04664,1,Opioid growth factor receptor (OGFr) conserved region
PF10590,1,Pyridoxine 5'-phosphate oxidase C-terminal dimerisation region
PF17979,1,Cysteine rich domain with multizinc binding regions
PF09073,1,BUD22
PF06102,1,rRNA biogenesis protein RRP36
PF03665,1,Uncharacterised protein family (UPF0172)
PF09597,1,IGR protein motif
PF12597,1,Cytochrome c oxidase assembly protein COX20
PF03531,1,Structure-specific recognition protein (SSRP1)
PF17292,1,POB3-like N-terminal PH domain
PF00281,1,Ribosomal protein L5
PF15458,1,Nineteen complex-related protein 2
PF02940,1,"mRNA capping enzyme, beta chain"
PF10173,1,Mitochondrial K+-H+ exchange-related
PF08084,1,PROCT (NUC072) domain
PF12134,1,PRP8 domain IV core
PF08083,1,PROCN (NUC071) domain
PF10596,1,U6-snRNA interacting domain of PrP8
PF10597,1,U5-snRNA binding site 2 of PrP8
PF10598,1,RNA recognition motif of the spliceosomal PrP8
PF08082,1,"PRO8NT (NUC069), PrP8 N-terminal domain"
PF01267,1,F-actin capping protein alpha subunit
PF12824,1,Mitochondrial ribosomal protein subunit L20
PF08214,1,Histone acetylation protein
PF08698,1,Fcf2 pre-rRNA processing
PF09368,1,Sas10 C-terminal domain
PF04281,1,Mitochondrial import receptor subunit Tom22
PF09495,1,Protein of unknown function (DUF2462)
PF01786,1,Alternative oxidase
PF15404,1,Pleckstrin homology domain
PF11789,1,Zinc-finger of the MIZ type in Nse subunit
PF06984,1,Mitochondrial 39-S ribosomal protein L47 (MRP-L47)
PF01588,1,Putative tRNA binding domain
PF07039,1,SGF29 tudor-like domain
PF12726,1,SEN1 N terminal
PF03659,1,Glycosyl hydrolase family 71
PF04739,1,"5'-AMP-activated protein kinase beta subunit, interaction domain"
PF19326,1,AMP deaminase
PF09794,1,Transport protein Avl9
PF00317,1,"Ribonucleotide reductase, all-alpha domain"
PF02867,1,"Ribonucleotide reductase, barrel domain"
PF03477,1,ATP cone domain
PF08672,1,Anaphase promoting complex (APC) subunit 2
PF03853,1,YjeF-related protein N-terminus
PF10017,1,"Histidine-specific methyltransferase, SAM-dependent"
PF10343,1,"Potential Queuosine, Q, salvage protein family"
PF00686,1,Starch binding domain
PF00723,1,Glycosyl hydrolases family 15
PF01255,1,Putative undecaprenyl diphosphate synthase
PF07726,1,ATPase family associated with various cellular activities (AAA)
PF17865,1,Midasin AAA lid domain
PF17867,1,Midasin AAA lid domain
PF12239,1,Protein of unknown function (DUF3605)
PF07926,1,TPR/MLP1/MLP2-like protein
PF12471,1,GTP cyclohydrolase N terminal
PF16901,1,C-terminal domain of alpha-glycerophosphate oxidase
PF07571,1,TAF6 C-terminal HEAT repeat domain
PF12928,1,tRNA-splicing endonuclease subunit sen54 N-term
PF05964,1,F/Y-rich N-terminus
PF05965,1,F/Y rich C-terminus
PF08447,1,PAS fold
PF08704,1,tRNA methyltransferase complex GCD14 subunit
PF01841,1,Transglutaminase-like superfamily
PF03835,1,Rad4 transglutaminase-like domain
PF10403,1,Rad4 beta-hairpin domain 1
PF10404,1,Rad4 beta-hairpin domain 2
PF10405,1,Rad4 beta-hairpin domain 3
PF01451,1,Low molecular weight phosphotyrosine protein phosphatase
PF05890,1,Eukaryotic rRNA processing protein EBP2
PF10357,1,Domain of Kin17 curved DNA-binding protein
PF10302,1,"DSC E3 ubiquitin ligase complex subunit 3, ubiquitin-like domain"
PF13373,1,"DSC E3 ubiquitin ligase complex subunit 3, C-terminal domain"
PF03034,1,Phosphatidyl serine synthase
PF06424,1,"PRP1 splicing factor, N-terminal"
PF01512,1,Respiratory-chain NADH dehydrogenase 51 Kd subunit
PF10531,1,SLBB domain
PF10589,1,NADH-ubiquinone oxidoreductase-F iron-sulfur binding region
PF03271,1,EB1-like C-terminal motif
PF19291,1,"Trehalase-like, N-terminal"
PF02517,1,Type II CAAX prenyl endopeptidase Rce1-like
PF10791,1,Mitochondrial F1-F0 ATP synthase subunit F of fungi
PF10306,1,Hypothetical protein FLILHELTA
PF08549,1,SWI/SNF and RSC complexes subunit Ssr4 N-terminal
PF10681,1,"Chaperone for protein-folding within the ER, fungal"
PF01634,1,ATP phosphoribosyltransferase
PF08029,1,"HisG, C-terminal domain"
PF00591,1,"Glycosyl transferase family, a/b domain"
PF02885,1,"Glycosyl transferase family, helical bundle domain"
PF03917,1,"Eukaryotic glutathione synthase, ATP binding domain"
PF08620,1,"RPAP1-like, C-terminal"
PF08621,1,"RPAP1-like, N-terminal"
PF05670,1,NFACT protein RNA binding domain
PF09139,1,"Phosphatidate cytidylyltransferase, mitochondrial"
PF04683,1,Proteasome complex subunit Rpn13 ubiquitin receptor
PF16550,1,UCH-binding domain
PF08634,1,Mitochondrial protein Pet127
PF10444,1,Nbl1 / Borealin N terminal
PF08170,1,POPLD (NUC188) domain
PF18055,1,26S proteasome regulatory subunit RPN6 N-terminal domain
PF14388,1,Domain of unknown function (DUF4419)
PF08695,1,Cytochrome oxidase complex assembly protein 1
PF09532,1,FDF domain
PF12701,1,Scd6-like Sm domain
PF00709,1,Adenylosuccinate synthetase
PF14138,1,Cytochrome c oxidase assembly protein COX16
PF09070,1,PFU (PLAA family ubiquitin binding)
PF19274,1,PI4-kinase N-terminal region
PF03054,1,tRNA methyl transferase HUP domain
PF20258,1,Aminomethyltransferase beta-barrel domain
PF20259,1,tRNA methyl transferase PRC-barrel domain
PF04037,1,Domain of unknown function (DUF382)
PF01121,1,Dephospho-CoA kinase
PF04627,1,Mitochondrial ATP synthase epsilon chain
PF06419,1,Conserved oligomeric complex COG6
PF01269,1,Fibrillarin
PF04499,1,SIT4 phosphatase-associated protein
PF11699,1,Mif2/CENP-C like
PF11709,1,Mitochondrial ribosomal protein subunit
PF04142,1,Nucleotide-sugar transporter
PF16199,1,Radical_SAM C-terminal domain
PF05768,1,Glutaredoxin-like domain (DUF836)
PF13192,1,Thioredoxin domain
PF08566,1,Mitochondrial import protein Pam17
PF04177,1,TAP42-like family
PF02765,1,Telomeric single stranded DNA binding POT1/CDC13
PF16686,1,ssDNA-binding domain of telomere protection protein
PF01483,1,Proprotein convertase P-domain
PF05726,1,Pirin C-terminal cupin domain
PF14780,1,Domain of unknown function (DUF4477)
PF02298,1,Plastocyanin-like domain
PF09402,1,Man1-Src1p-C-terminal domain
PF09454,1,Vps23 core domain
PF07540,1,Nucleolar complex-associated protein
PF12862,1,Anaphase-promoting complex subunit 5
PF01165,1,Ribosomal protein S21
PF10257,1,Retinoic acid induced 16-like protein
PF19314,1,Family of unknown function (DUF5917)
PF13672,1,Protein phosphatase 2C
PF03571,1,Peptidase family M49
PF04588,1,Hypoxia induced protein conserved region
PF06777,1,Helical and beta-bridge domain
PF13324,1,Grap2 and cyclin-D-interacting
PF03147,1,Ferredoxin-fold anticodon binding domain
PF01025,1,GrpE
PF01268,1,Formate--tetrahydrofolate ligase
PF02882,1,"Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain"
PF12222,1,Peptide N-acetyl-beta-D-glucosaminyl asparaginase amidase A
PF00316,1,"Fructose-1-6-bisphosphatase, N-terminal domain"
PF18913,1,"Fructose-1-6-bisphosphatase, C-terminal domain"
PF10332,1,Protein of unknown function (DUF2418)
PF04133,1,Vacuolar protein sorting 55
PF05129,1,Transcription elongation factor Elf1 like
PF12931,1,Sec23-binding domain of Sec16
PF12932,1,Vesicle coat trafficking protein Sec16 mid-region
PF04756,1,"OST3 / OST6 family, transporter family"
PF08626,1,"Transport protein Trs120 or TRAPPC9, TRAPP II complex subunit"
PF07297,1,Dolichol phosphate-mannose biosynthesis regulatory protein (DPM2)
PF13926,1,Domain of unknown function (DUF4211)
PF09745,1,"Nuclear speckle splicing regulatory protein 1, N-terminal"
PF09631,1,Sen15 protein
PF02005,1,"N2,N2-dimethylguanosine tRNA methyltransferase"
PF05891,1,AdoMet dependent proline di-methyltransferase
PF07962,1,Replication Fork Protection Component Swi3
PF10253,1,"Mitotic checkpoint regulator, MAD2B-interacting"
PF03177,1,Non-repetitive/WGA-negative nucleoporin C-terminal
PF10231,1,Cytochrome c oxidase assembly factor 8
PF04144,1,SCAMP family
PF00658,1,"Poly-adenylate binding protein, unique domain"
PF02978,1,Signal peptide binding domain
PF00017,1,SH2 domain
PF14632,1,Acidic N-terminal SPT6
PF14633,1,SH2 domain
PF14635,1,Helix-hairpin-helix motif
PF14639,1,Holliday-junction resolvase-like of SPT6
PF14641,1,Helix-turn-helix DNA-binding domain of SPT6
PF17674,1,HHH domain
PF13329,1,Autophagy-related protein 2 CAD motif
PF08784,1,Replication protein A C terminal
PF09797,1,N-acetyltransferase B complex (NatB) non catalytic subunit
PF11654,1,Non-classical export protein 1
PF13085,1,2Fe-2S iron-sulfur cluster binding domain
PF13183,1,4Fe-4S dicluster domain
PF13534,1,4Fe-4S dicluster domain
PF01262,1,"Alanine dehydrogenase/PNT, C-terminal domain"
PF02233,1,NAD(P) transhydrogenase beta subunit
PF12769,1,"4TM region of pyridine nucleotide transhydrogenase, mitoch"
PF08658,1,Rad54 N terminal
PF00327,1,Ribosomal protein L30p/L7e
PF08079,1,Ribosomal L30 N-terminal domain
PF03517,1,Regulator of volume decrease after cellular swelling
PF04658,1,TAFII55 protein conserved region
PF04114,1,"Gaa1-like, GPI transamidase component"
PF03194,1,LUC7 N_terminus
PF12589,1,Methyltransferase involved in Williams-Beuren syndrome
PF05007,1,Mannosyltransferase (PIG-M)
PF01233,1,"Myristoyl-CoA:protein N-myristoyltransferase, N-terminal domain"
PF02799,1,"Myristoyl-CoA:protein N-myristoyltransferase, C-terminal domain"
PF03152,1,Ubiquitin fusion degradation protein UFD1
PF01813,1,ATP synthase subunit D
PF16906,1,"Ribosomal proteins L26 eukaryotic, L24P archaeal"
PF06229,1,FRG1-like domain
PF07934,1,"8-oxoguanine DNA glycosylase, N-terminal domain"
PF06218,1,Nitrogen permease regulator 2
PF08825,1,E2 binding domain
PF20398,1,Family of unknown function (DUF6691)
PF03168,1,Late embryogenesis abundant protein
PF13454,1,FAD-NAD(P)-binding
PF09783,1,Vacuolar import and degradation protein
